Ranking,Country,2014,Ranking compared with HDI ranking
1,Norway,0.944,0
2,Australia,0.935,-2
3,Switzerland,0.93,0
4,Denmark,0.923,-1
5,Netherlands,0.922,3
6,Germany,0.916,0
6,Ireland,0.916,-3
8,United States,0.915,-20
9,Canada,0.913,-2
9,New Zealand,0.913,..
11,Singapore,0.912,..
12,"Hong Kong, China (SAR)",0.91,..
13,Liechtenstein,0.908,..
14,Sweden,0.907,3
14,United Kingdom,0.907,-2
16,Iceland,0.899,4
17,Korea (Republic of),0.898,-19
18,Israel,0.894,-9
19,Luxembourg,0.892,0
20,Japan,0.891,-5
21,Belgium,0.89,1
22,France,0.888,0
23,Austria,0.885,2
24,Finland,0.883,10
25,Slovenia,0.88,8
26,Spain,0.876,0
27,Italy,0.873,-1
28,Czech Republic,0.87,10
29,Greece,0.865,-5
30,Estonia,0.861,6
31,Brunei Darussalam,0.856,..
32,Cyprus,0.85,-2
32,Qatar,0.85,..
34,Andorra,0.845,..
35,Slovakia,0.844,9
36,Poland,0.843,2
37,Lithuania,0.839,-1
37,Malta,0.839,4
39,Saudi Arabia,0.837,..
40,Argentina,0.836,-8
41,United Arab Emirates,0.835,..
42,Chile,0.832,-13
43,Portugal,0.83,1
44,Hungary,0.828,10
45,Bahrain,0.824,..
46,Latvia,0.819,0
47,Croatia,0.818,3
48,Kuwait,0.816,..
49,Montenegro,0.802,1
50,Belarus,0.798,4
50,Russian Federation,0.798,1
52,Oman,0.793,..
52,Romania,0.793,2
52,Uruguay,0.793,-4
55,Bahamas,0.79,..
56,Kazakhstan,0.788,1
57,Barbados,0.785,..
58,Antigua and Barbuda,0.783,..
59,Bulgaria,0.782,3
60,Palau,0.78,..
60,Panama,0.78,-20
62,Malaysia,0.779,..
63,Mauritius,0.777,-2
64,Seychelles,0.772,..
64,Trinidad and Tobago,0.772,-3
66,Serbia,0.771,5
67,Cuba,0.769,..
67,Lebanon,0.769,-15
69,Costa Rica,0.766,-11
69,Iran (Islamic Republic of),0.766,-41
71,Venezuela (Bolivarian Republic of),0.762,-11
72,Turkey,0.761,0
73,Sri Lanka,0.757,7
74,Mexico,0.756,-12
75,Brazil,0.755,-20
76,Georgia,0.754,5
77,Saint Kitts and Nevis,0.752,..
78,Azerbaijan,0.751,7
79,Grenada,0.75,..
80,Jordan,0.748,2
81,The former Yugoslav Republic of Macedonia,0.747,2
81,Ukraine,0.747,16
83,Algeria,0.736,..
84,Peru,0.734,-10
85,Albania,0.733,8
85,Armenia,0.733,14
85,Bosnia and Herzegovina,0.733,9
88,Ecuador,0.732,-4
89,Saint Lucia,0.729,5
90,China,0.727,..
90,Fiji,0.727,8
90,Mongolia,0.727,12
93,Thailand,0.726,1
94,Dominica,0.724,..
94,Libya,0.724,..
96,Tunisia,0.721,-2
97,Colombia,0.72,-10
97,Saint Vincent and the Grenadines,0.72,..
99,Jamaica,0.719,7
100,Tonga,0.717,..
101,Belize,0.715,-3
101,Dominican Republic,0.715,-6
103,Suriname,0.714,-5
104,Maldives,0.706,-6
105,Samoa,0.702,..
106,Botswana,0.698,-23
107,Moldova (Republic of),0.693,20
108,Egypt,0.69,-5
109,Turkmenistan,0.688,..
110,Gabon,0.684,-6
110,Indonesia,0.684,6
112,Paraguay,0.679,-1
113,"Palestine, State of",0.677,16
114,Uzbekistan,0.675,14
115,Philippines,0.668,7
116,El Salvador,0.666,-6
116,South Africa,0.666,-15
116,Viet Nam,0.666,9
119,Bolivia (Plurinational State of),0.662,-5
120,Kyrgyzstan,0.655,17
121,Iraq,0.654,2
122,Cabo Verde,0.646,5
123,Micronesia (Federated States of),0.64,..
124,Guyana,0.636,8
125,Nicaragua,0.631,1
126,Morocco,0.628,-2
126,Namibia,0.628,-25
128,Guatemala,0.627,1
129,Tajikistan,0.624,10
130,India,0.609,1
131,Honduras,0.606,-7
132,Bhutan,0.605,-2
133,Timor-Leste,0.595,-4
134,Syrian Arab Republic,0.594,8
134,Vanuatu,0.594,12
136,Congo,0.591,6
137,Kiribati,0.59,-2
138,Equatorial Guinea,0.587,..
139,Zambia,0.586,-6
140,Ghana,0.579,-3
141,Lao People's Democratic Republic,0.575,7
142,Bangladesh,0.57,1
143,Cambodia,0.555,7
143,Sao Tome and Principe,0.555,6
145,Kenya,0.548,-3
145,Nepal,0.548,3
147,Pakistan,0.538,0
148,Myanmar,0.536,..
149,Angola,0.532,-8
150,Swaziland,0.531,-2
151,Tanzania (United Republic of),0.521,4
152,Nigeria,0.514,-9
153,Cameroon,0.512,-1
154,Madagascar,0.51,4
155,Zimbabwe,0.509,4
156,Mauritania,0.506,1
156,Solomon Islands,0.506,11
158,Papua New Guinea,0.505,..
159,Comoros,0.503,-18
160,Yemen,0.498,0
161,Lesotho,0.497,-2
162,Togo,0.484,1
163,Haiti,0.483,-7
163,Rwanda,0.483,4
163,Uganda,0.483,6
166,Benin,0.48,-2
167,Sudan,0.479,..
168,Djibouti,0.47,1
169,South Sudan,0.467,..
170,Senegal,0.466,1
171,Afghanistan,0.465,5
172,C??te d'Ivoire,0.462,-1
173,Malawi,0.445,2
174,Ethiopia,0.442,7
175,Gambia,0.441,..
176,Congo (Democratic Republic of the),0.433,0
177,Liberia,0.43,2
178,Guinea-Bissau,0.42,-5
179,Mali,0.419,1
180,Mozambique,0.416,3
181,Sierra Leone,0.413,-4
182,Guinea,0.411,0
183,Burkina Faso,0.402,2
184,Burundi,0.4,5
185,Chad,0.392,-1
186,Eritrea,0.391,..
187,Central African Republic,0.35,-1
188,Niger,0.348,3
,,,
